#dist (cm)	xi			T(K)		n_H (cm^-3)
 9.6180E+24  6.9296E-06  3.5033E+04  7.0000E-05  
 9.7209E+24  6.7240E-06  3.4980E+04  7.0000E-05  
 9.8238E+24  6.9877E-06  3.4925E+04  7.0000E-05  
 9.9266E+24  7.3218E-06  3.4871E+04  7.0000E-05  
 1.0030E+25  7.4213E-06  3.4815E+04  7.0000E-05  
 1.0132E+25  7.3870E-06  3.4759E+04  7.0000E-05  
 1.0235E+25  7.7264E-06  3.4703E+04  7.0000E-05  
 1.0338E+25  8.1154E-06  3.4645E+04  7.0000E-05  
 1.0441E+25  7.9023E-06  3.4587E+04  7.0000E-05  
 1.0544E+25  8.1481E-06  3.4529E+04  7.0000E-05  
 1.0647E+25  8.5204E-06  3.4469E+04  7.0000E-05  
 1.0750E+25  8.8349E-06  3.4408E+04  7.0000E-05  
 1.0852E+25  8.5651E-06  3.4345E+04  7.0000E-05  
 1.0955E+25  8.9546E-06  3.4279E+04  7.0000E-05  
 1.1058E+25  9.3682E-06  3.4211E+04  7.0000E-05  
 1.1161E+25  9.5367E-06  3.4137E+04  7.0000E-05  
 1.1264E+25  9.4229E-06  3.4057E+04  7.0000E-05  
 1.1367E+25  9.8650E-06  3.3967E+04  7.0000E-05  
 1.1470E+25  1.0369E-05  3.3865E+04  7.0000E-05  
 1.1573E+25  1.0476E-05  3.3746E+04  7.0000E-05  
 1.1675E+25  1.0551E-05  3.3605E+04  7.0000E-05  
 1.1778E+25  1.1149E-05  3.3435E+04  7.0000E-05  
 1.1881E+25  1.1884E-05  3.3228E+04  7.0000E-05  
 1.1984E+25  1.1977E-05  3.2977E+04  7.0000E-05  
 1.2087E+25  1.2433E-05  3.2674E+04  7.0000E-05  
 1.2190E+25  1.3398E-05  3.2315E+04  7.0000E-05  
 1.2293E+25  1.4466E-05  3.1896E+04  7.0000E-05  
 1.2395E+25  1.4387E-05  3.1419E+04  7.0000E-05  
 1.2498E+25  1.6191E-05  3.0891E+04  7.0000E-05  
 1.2601E+25  2.3226E-05  3.0322E+04  7.0000E-05  
 1.2704E+25  8.6033E-05  2.9723E+04  7.0000E-05  
 1.2807E+25  7.0393E-04  2.9105E+04  7.0000E-05  
 1.2910E+25  6.0972E-03  2.8469E+04  7.0000E-05  
 1.3013E+25  3.4961E-02  2.7718E+04  7.0000E-05  
 1.3116E+25  8.6535E-02  2.6581E+04  7.0000E-05  
 1.3218E+25  1.2048E-01  2.5311E+04  7.0000E-05  
 1.3321E+25  1.3800E-01  2.4268E+04  7.0000E-05  
 1.3424E+25  1.4793E-01  2.3437E+04  7.0000E-05  
 1.3527E+25  1.5401E-01  2.2762E+04  7.0000E-05  
 1.3630E+25  1.5793E-01  2.2206E+04  7.0000E-05  
 1.3733E+25  1.6057E-01  2.1741E+04  7.0000E-05  
 1.3836E+25  1.6241E-01  2.1348E+04  7.0000E-05  
 1.3938E+25  1.6373E-01  2.1010E+04  7.0000E-05  
 1.4041E+25  1.6472E-01  2.0714E+04  7.0000E-05  
 1.4144E+25  1.6547E-01  2.0453E+04  7.0000E-05  
 1.4247E+25  1.6607E-01  2.0220E+04  7.0000E-05  
 1.4350E+25  1.6656E-01  2.0007E+04  7.0000E-05  
 1.4453E+25  1.6696E-01  1.9815E+04  7.0000E-05  
 1.4556E+25  1.6731E-01  1.9632E+04  7.0000E-05  
 1.4659E+25  1.6761E-01  1.9462E+04  7.0000E-05  
 1.4761E+25  1.6787E-01  1.9299E+04  7.0000E-05  
 1.4864E+25  1.6811E-01  1.9146E+04  7.0000E-05  
 1.4967E+25  1.6832E-01  1.8996E+04  7.0000E-05  
 1.5070E+25  1.6851E-01  1.8858E+04  7.0000E-05  
 1.5173E+25  1.6868E-01  1.8720E+04  7.0000E-05  
 1.5276E+25  1.6884E-01  1.8592E+04  7.0000E-05  
 1.5379E+25  1.6899E-01  1.8467E+04  7.0000E-05  
 1.5481E+25  1.6913E-01  1.8345E+04  7.0000E-05  
 1.5584E+25  1.6926E-01  1.8231E+04  7.0000E-05  
 1.5687E+25  1.6938E-01  1.8119E+04  7.0000E-05  
 1.5790E+25  1.6949E-01  1.8010E+04  7.0000E-05  
 1.5893E+25  1.6960E-01  1.7908E+04  7.0000E-05  
 1.5996E+25  1.6969E-01  1.7807E+04  7.0000E-05  
 1.6099E+25  1.6979E-01  1.7709E+04  7.0000E-05  
 1.6202E+25  1.6988E-01  1.7616E+04  7.0000E-05  
 1.6304E+25  1.6996E-01  1.7527E+04  7.0000E-05  
 1.6407E+25  1.7004E-01  1.7437E+04  7.0000E-05  
 1.6510E+25  1.7011E-01  1.7352E+04  7.0000E-05  
 1.6613E+25  1.7018E-01  1.7272E+04  7.0000E-05  
 1.6716E+25  1.7025E-01  1.7193E+04  7.0000E-05  
 1.6819E+25  1.7031E-01  1.7114E+04  7.0000E-05  
 1.6922E+25  1.7037E-01  1.7040E+04  7.0000E-05  
 1.7024E+25  1.7043E-01  1.6969E+04  7.0000E-05  
 1.7127E+25  1.7048E-01  1.6900E+04  7.0000E-05  
 1.7230E+25  1.7053E-01  1.6831E+04  7.0000E-05  
 1.7333E+25  1.7058E-01  1.6765E+04  7.0000E-05  
 1.7436E+25  1.7063E-01  1.6702E+04  7.0000E-05  
 1.7539E+25  1.7068E-01  1.6641E+04  7.0000E-05  
 1.7642E+25  1.7072E-01  1.6581E+04  7.0000E-05  
 1.7745E+25  1.7076E-01  1.6522E+04  7.0000E-05  
 1.7847E+25  1.7080E-01  1.6466E+04  7.0000E-05  
 1.7950E+25  1.7084E-01  1.6412E+04  7.0000E-05  
 1.8053E+25  1.7087E-01  1.6360E+04  7.0000E-05  
 1.8156E+25  1.7091E-01  1.6309E+04  7.0000E-05  
 1.8259E+25  1.7094E-01  1.6259E+04  7.0000E-05  
 1.8362E+25  1.7097E-01  1.6210E+04  7.0000E-05  
 1.8465E+25  1.7100E-01  1.6164E+04  7.0000E-05  
 1.8567E+25  1.7103E-01  1.6119E+04  7.0000E-05  
 1.8670E+25  1.7106E-01  1.6076E+04  7.0000E-05  
 1.8773E+25  1.7109E-01  1.6033E+04  7.0000E-05  
 1.8876E+25  1.7112E-01  1.5991E+04  7.0000E-05  
 1.8979E+25  1.7114E-01  1.5951E+04  7.0000E-05  
 1.9082E+25  1.7116E-01  1.5912E+04  7.0000E-05  
 1.9185E+25  1.7119E-01  1.5875E+04  7.0000E-05  
 1.9288E+25  1.7121E-01  1.5839E+04  7.0000E-05  
 1.9390E+25  1.7123E-01  1.5804E+04  7.0000E-05  
 1.9493E+25  1.7125E-01  1.5768E+04  7.0000E-05  
 1.9596E+25  1.7128E-01  1.5734E+04  7.0000E-05  
 1.9699E+25  1.7130E-01  1.5702E+04  7.0000E-05  
 1.9802E+25  1.7131E-01  1.5670E+04  7.0000E-05  
 1.9905E+25  1.7133E-01  1.5639E+04  7.0000E-05  
 2.0008E+25  1.7135E-01  1.5609E+04  7.0000E-05  
 2.0110E+25  1.7137E-01  1.5579E+04  7.0000E-05  
 2.0213E+25  1.7139E-01  1.5549E+04  7.0000E-05  
 2.0316E+25  1.7140E-01  1.5520E+04  7.0000E-05  
 2.0419E+25  1.7142E-01  1.5493E+04  7.0000E-05  
 2.0522E+25  1.7143E-01  1.5465E+04  7.0000E-05  
 2.0625E+25  1.7145E-01  1.5439E+04  7.0000E-05  
 2.0728E+25  1.7146E-01  1.5413E+04  7.0000E-05  
